timestamp,aqi,us_aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,source,aqi_raw,hour,day_of_week,month,is_weekend,aqi_lag_1,aqi_lag_24,aqi_lag_48,aqi_lag_72,aqi_rolling_24,pm25_rolling_24,pm10_rolling_24,co_rolling_24,aqi_change_rate
2024-05-23 20:00:00,88.3,88.3,363.83,0.0,11.65,55.07,2.26,29.11,109.79,1.3,openweather,4.0,20,3,5,0,90.4,84.2,65.6,63.4,86.35000000000001,28.07375,102.90749999999998,339.6270833333333,-0.023230088495575285
2024-05-23 21:00:00,88.9,88.9,353.81,0.0,10.02,52.93,2.41,29.46,113.02,1.5,openweather,4.0,21,3,5,0,88.3,87.2,64.9,63.6,86.42083333333333,28.112499999999997,103.07,338.3754166666667,0.00679501698754259
2024-05-23 22:00:00,88.4,88.4,337.12,0.0,8.14,51.5,2.35,29.19,113.31,1.44,openweather,4.0,22,3,5,0,88.9,88.4,65.8,64.1,86.42083333333333,28.11375,103.30666666666666,337.68,-0.0056242969628796935
2024-05-23 23:00:00,88.2,88.2,333.79,0.0,7.37,49.35,2.32,29.07,113.1,1.41,openweather,4.0,23,3,5,0,88.4,87.8,67.1,65.6,86.4375,28.12333333333333,103.61125,337.40208333333334,-0.002262443438914019
2024-05-24 00:00:00,87.5,87.5,323.77,0.0,7.03,47.21,2.24,28.67,113.81,1.09,openweather,4.0,0,4,5,0,88.2,85.5,67.7,65.7,86.52083333333333,28.167083333333334,104.06041666666668,337.2629166666667,-0.00793650793650802
2024-05-24 01:00:00,86.5,86.5,297.07,0.0,5.83,46.49,2.24,28.13,114.02,0.64,openweather,4.0,1,4,5,0,87.5,82.9,67.2,63.8,86.67083333333333,28.247083333333336,104.57708333333333,337.2629166666667,-0.011428571428571455
2024-05-24 02:00:00,86.1,86.1,277.04,0.0,4.24,47.92,2.53,27.95,113.54,0.63,openweather,4.0,2,4,5,0,86.5,81.6,67.7,62.2,86.85833333333333,28.347916666666666,105.09416666666668,337.12375000000003,-0.0046242774566475076
2024-05-24 03:00:00,85.9,85.9,263.69,0.0,3.04,51.5,2.5,27.82,111.14,0.6,openweather,4.0,3,4,5,0,86.1,81.4,68.4,61.1,87.04583333333333,28.4475,105.51333333333332,336.84541666666667,-0.0023228803716607294
2024-05-24 04:00:00,85.7,85.7,253.68,0.0,2.53,56.51,2.38,27.73,108.28,0.54,openweather,4.0,4,4,5,0,85.9,81.0,68.7,60.1,87.24166666666667,28.5525,105.84375,336.42833333333334,-0.002328288707799775
2024-05-24 05:00:00,85.5,85.5,250.34,0.0,2.29,60.08,2.29,27.64,107.01,0.47,openweather,4.0,5,4,5,0,85.7,81.0,69.3,59.5,87.42916666666667,28.655,106.13,335.87208333333336,-0.002333722287047868
2024-05-24 06:00:00,86.3,86.3,257.02,0.0,2.74,62.94,2.5,28.04,107.25,0.55,openweather,4.0,6,4,5,0,85.5,81.1,70.1,59.4,87.64583333333333,28.77125,106.41041666666666,335.31583333333333,0.009356725146198785
2024-05-24 07:00:00,87.8,87.8,280.38,0.05,4.07,65.09,2.77,28.84,108.43,0.79,openweather,4.0,7,4,5,0,86.3,81.6,70.9,59.8,87.90416666666665,28.90875,106.64,335.1766666666667,0.017381228273464666
2024-05-24 08:00:00,90.7,90.7,350.48,0.76,7.63,64.37,3.19,30.42,111.61,1.47,openweather,4.0,8,4,5,0,87.8,83.4,71.9,62.2,88.20833333333333,29.073333333333334,106.88416666666666,335.31583333333333,0.03302961275626437
2024-05-24 09:00:00,94.3,94.3,460.62,2.77,12.85,62.23,3.93,32.34,116.36,2.25,openweather,4.0,9,4,5,0,90.7,85.0,72.6,64.1,88.59583333333332,29.280416666666667,107.23875,336.9845833333333,0.03969128996692395
2024-05-24 10:00:00,97.8,97.8,514.03,3.97,14.57,67.23,4.23,34.24,118.89,2.75,openweather,4.0,10,4,5,0,94.3,85.7,72.8,65.0,89.10000000000001,29.5525,107.71999999999998,341.15708333333333,0.03711558854718988
2024-05-24 11:00:00,101.8,101.8,500.68,3.38,13.02,77.96,4.29,35.83,119.55,3.04,openweather,4.0,11,4,5,0,97.8,86.4,73.5,65.9,89.74166666666667,29.87375,108.32458333333334,346.58124999999995,0.04089979550102241
2024-05-24 12:00:00,101.5,101.5,447.27,2.57,10.45,83.68,3.61,35.69,116.65,2.53,openweather,4.0,12,4,5,0,101.8,87.2,74.2,66.9,90.33750000000002,30.17125,108.92416666666668,351.0316666666667,-0.0029469548133594925
